Temps,Voie A,Voie B,Voie C
(ns),(mV),(mV),(mV)

836000,0,1,0
837000,-1,1,0
838000,0,1,1
839000,0,0,0
840000,0,0,0
841000,0,0,-1
842000,0,0,1
843000,0,0,-1
844000,0,0,1
845000,0,0,1
846000,0,0,0
847000,0,0,0
848000,0,0,0
849000,0,0,0
850000,0,1,0
851000,0,0,0
852000,0,1,0
853000,0,0,0
854000,0,0,1
855000,0,0,0
856000,0,1,0
857000,-1,0,0
858000,0,0,0
859000,0,0,0
860000,0,0,0
861000,0,0,0
862000,0,0,0
863000,0,0,0
864000,0,0,0
865000,0,1,0
866000,0,0,0
867000,0,0,3
868000,0,0,0
869000,0,0,0
870000,0,1,0
871000,-1,0,0
872000,0,1,0
873000,0,0,0
874000,0,0,0
875000,0,0,0
876000,0,1,0
877000,0,0,0
878000,1,0,0
879000,-1,1,0
880000,0,0,0
881000,0,0,0
882000,0,0,1
883000,0,1,0
884000,0,1,0
885000,0,0,-1
886000,0,0,0
887000,0,0,1
888000,0,0,1
889000,0,1,1
890000,0,-1,0
891000,1,1,0
892000,0,0,0
893000,0,0,0
894000,0,0,1
895000,1,0,0
896000,0,0,0
897000,0,1,1
898000,0,0,0
899000,1,0,0
900000,0,0,0
901000,0,0,0
902000,0,1,1
903000,0,0,-1
904000,0,0,1
905000,0,1,0
906000,0,1,0
907000,-1,1,0
908000,-1,0,0
909000,0,0,1
910000,0,0,0
911000,0,1,-1
912000,0,0,0
913000,0,1,0
914000,0,0,0
915000,0,0,0
916000,0,1,0
917000,1,0,0
918000,0,0,0
919000,0,0,0
920000,0,0,0
921000,1,1,0
922000,0,-1,0
923000,0,1,0
924000,0,0,-1
925000,0,0,0
926000,0,1,0
927000,0,0,0
928000,0,1,3
929000,1,0,0
930000,0,1,0
931000,0,0,0
932000,0,3,0
933000,0,0,0
934000,0,0,0
935000,0,1,0
936000,0,0,0
937000,0,0,0
938000,0,1,1
939000,0,0,1
940000,0,1,-1
941000,0,1,0
942000,0,-1,1
943000,0,1,0
944000,0,-1,0
945000,0,1,0
946000,0,1,0
947000,0,0,0
948000,0,1,1
949000,0,0,1
950000,0,0,1
951000,0,0,-1
952000,0,0,1
953000,0,0,0
954000,0,0,0
955000,0,0,0
956000,0,0,1
957000,0,0,0
958000,0,0,1
959000,0,0,0
960000,0,0,0
961000,1,3,0
962000,-1,1,1
963000,0,1,0
964000,0,0,0
965000,0,0,0
966000,0,0,0
967000,0,0,1
968000,0,0,0
969000,0,0,0
970000,0,0,0
971000,0,1,1
972000,0,0,1
973000,1,0,0
974000,0,0,0
975000,0,0,1
976000,1,0,0
977000,0,1,0
978000,-1,0,0
979000,0,0,0
980000,0,-1,0
981000,0,0,0
982000,0,1,0
983000,0,1,0
984000,0,0,1
985000,0,0,0
986000,1,1,1
987000,0,0,0
988000,0,0,0
989000,0,0,1
990000,0,1,0
991000,-1,0,0
992000,0,0,0
993000,0,1,0
994000,0,0,0
995000,0,0,0
996000,0,1,0
997000,-1,0,1
998000,0,1,0
999000,0,1,0
1000000,0,0,0
1001000,0,0,0
1002000,0,0,1
1003000,0,1,0
1004000,0,1,0
1005000,0,0,0
1006000,0,1,0
1007000,0,0,0
1008000,0,0,0
