For each of the 4 Channels, results shown are....
Time interval Maximum Aggregated value ADC Count & mV, Minimum Aggregated value ADC Count & mV

Time   Ch  Max ADC    Max mV   Min ADC    Min mV   
 1716  ChA       0         0         0         0   
 1720  ChA       0         0         0         0   
 1724  ChA       0         0         0         0   
 1728  ChA       0         0         0         0   
 1732  ChA       0         0         0         0   
 1736  ChA       0         0         0         0   
 1740  ChA       0         0         0         0   
 1744  ChA    -152         0         0         0   
 1748  ChA       0         0         0         0   
 1752  ChA       0         0         0         0   
 1756  ChA       0         0         0         0   
 1760  ChA    -152         0         0         0   
 1764  ChA       0         0         0         0   
 1768  ChA       0         0         0         0   
 1772  ChA       0         0         0         0   
 1776  ChA       0         0         0         0   
 1780  ChA       0         0         0         0   
 1784  ChA       0         0         0         0   
 1788  ChA       0         0         0         0   
 1792  ChA       0         0         0         0   
 1796  ChA       0         0         0         0   
 1800  ChA       0         0         0         0   
 1804  ChA       0         0         0         0   
 1808  ChA       0         0         0         0   
 1812  ChA       0         0         0         0   
 1816  ChA       0         0         0         0   
 1820  ChA       0         0         0         0   
 1824  ChA       0         0         0         0   
 1828  ChA       0         0         0         0   
 1832  ChA       0         0         0         0   
 1836  ChA       0         0         0         0   
 1840  ChA       0         0         0         0   
 1844  ChA       0         0         0         0   
 1848  ChA       0         0         0         0   
 1852  ChA       0         0         0         0   
 1856  ChA    -152         0         0         0   
 1860  ChA       0         0         0         0   
 1864  ChA       0         0         0         0   
 1868  ChA    -152         0         0         0   
 1872  ChA       0         0         0         0   
 1876  ChA       0         0         0         0   
 1880  ChA    -152         0         0         0   
 1884  ChA       0         0         0         0   
 1888  ChA       0         0         0         0   
 1892  ChA       0         0         0         0   
 1896  ChA       0         0         0         0   
 1900  ChA       0         0         0         0   
 1904  ChA       0         0         0         0   
 1908  ChA       0         0         0         0   
 1912  ChA       0         0         0         0   
 1916  ChA       0         0         0         0   
 1920  ChA       0         0         0         0   
 1924  ChA       0         0         0         0   
 1928  ChA       0         0         0         0   
 1932  ChA       0         0         0         0   
 1936  ChA       0         0         0         0   
 1940  ChA       0         0         0         0   
 1944  ChA       0         0         0         0   
 1948  ChA       0         0         0         0   
